naam;bron_url;eigen_domein;imio_site;pv_url;heeft_pdfs;heeft_jaarpaginas;pdf_count;aanbeveling;opmerkingen
Comblain-au-Pont;https://www.deliberations.be/comblain-au-pont;;False;;False;False;0;deliberations.be (ongewijzigd);Eigen website niet bereikbaar
Comines-Warneton;https://www.deliberations.be/comines-warneton;https://www.comines-warneton.be;False;;False;False;0;deliberations.be (ongewijzigd);Eigen website is GEEN iMio-site
Courcelles;https://www.deliberations.be/courcelles;;False;;False;False;0;deliberations.be (ongewijzigd);Eigen website niet bereikbaar
Court-Saint-Étienne;https://deliberations.be/court-saint-etienne;https://www.court-saint-etienne.be;False;;False;False;0;deliberations.be (ongewijzigd);Eigen website is GEEN iMio-site
Dalhem;https://www.deliberations.be/dalhem;https://www.dalhem.be;True;;False;False;0;deliberations.be (ongewijzigd);
Daverdisse;https://www.deliberations.be/daverdisse;https://www.daverdisse.be;True;https://www.daverdisse.be/ma-commune/vie-politique/conseil-communal/proces-verbaux;True;True;6;EIGEN SITE: https://www.daverdisse.be/ma-commune/vie-politique/conseil-communal/proces-verbaux;Jaarpagina's gevonden: ['2025', '2024', '2023'] (pad: /ma-commune/vie-politique/conseil-communal/proces-verbaux) - PDFs op subpaginas mogelijk | 6 PDF(s) gevonden op jaarpagina https://www.daverdisse.be/ma-commune/vie-politique/conseil-communal/compte-rendu-des-seances/2025
Dinant;https://www.deliberations.be/dinant;https://www.dinant.be;False;https://www.dinant.be/vie-politique/conseil-communal/pv-du-conseil;False;False;0;deliberations.be (ongewijzigd);Eigen website is GEEN iMio-site
Dison;https://www.deliberations.be/dison;https://www.dison.be;True;;False;False;0;deliberations.be (ongewijzigd);
Doische;https://www.deliberations.be/doische;https://www.doische.be;True;;False;False;0;deliberations.be (ongewijzigd);
Donceel;https://www.deliberations.be/donceel;https://www.donceel.be;False;;False;False;0;deliberations.be (ongewijzigd);Eigen website is GEEN iMio-site
Dour;https://www.deliberations.be/dour;;False;;False;False;0;deliberations.be (ongewijzigd);Eigen website niet bereikbaar
Durbuy;https://www.deliberations.be/durbuy;https://www.durbuy.be;False;;False;False;0;deliberations.be (ongewijzigd);Eigen website is GEEN iMio-site
Ecaussines;https://deliberations.be/ecaussinnes;;False;;False;False;0;deliberations.be (ongewijzigd);Eigen website niet bereikbaar
Ellezelles;https://www.deliberations.be/ellezelles;https://www.ellezelles.be;True;;False;False;0;deliberations.be (ongewijzigd);
Enghien;https://www.deliberations.be/enghien;https://www.enghien.be;True;;False;False;0;deliberations.be (ongewijzigd);
Engis;https://www.deliberations.be/engis;https://www.engis.be;True;;False;False;0;deliberations.be (ongewijzigd);
Erquelinnes;https://www.deliberations.be/erquelinnes;https://www.erquelinnes.be;True;;False;False;0;deliberations.be (ongewijzigd);
Estaimpuis;https://www.deliberations.be/estaimpuis;https://www.estaimpuis.be;False;;False;False;0;deliberations.be (ongewijzigd);Eigen website is GEEN iMio-site
Estinnes;https://www.deliberations.be/estinnes;https://www.estinnes.be;True;https://www.estinnes.be/ma-commune/vie-politique/conseil-communal/proces-verbaux;True;False;231;EIGEN SITE: https://www.estinnes.be/ma-commune/vie-politique/conseil-communal/proces-verbaux;231 PDF(s) gevonden (pad: /ma-commune/vie-politique/conseil-communal/proces-verbaux)
Etalle;https://deliberations.be/etalle;https://www.etalle.be;False;https://www.etalle.be/vie-politique/conseil-communal/pv-du-conseil;False;False;0;deliberations.be (ongewijzigd);Eigen website is GEEN iMio-site
Faimes;https://www.deliberations.be/faimes;https://www.faimes.be;True;;False;False;0;deliberations.be (ongewijzigd);
Farciennes;https://www.deliberations.be/farciennes;https://www.farciennes.be;True;;False;False;0;deliberations.be (ongewijzigd);
Fauvillers;https://www.deliberations.be/fauvillers;https://www.fauvillers.be;False;https://www.fauvillers.be/vie-politique/conseil-communal/pv-du-conseil;False;False;0;deliberations.be (ongewijzigd);Eigen website is GEEN iMio-site
Ferrières;https://deliberations.be/ferrieres;https://www.ferrieres.be;True;;False;False;0;deliberations.be (ongewijzigd);
Fexhe-le-Haut-Clocher;https://www.deliberations.be/fexhe-le-haut-clocher;https://www.fexhe-le-haut-clocher.be;True;;False;False;0;deliberations.be (ongewijzigd);
Fleurus;https://www.deliberations.be/fleurus;https://www.fleurus.be;False;;False;False;0;deliberations.be (ongewijzigd);Eigen website is GEEN iMio-site
Florennes;https://www.deliberations.be/florennes;https://www.florennes.be;True;;False;False;0;deliberations.be (ongewijzigd);
Florenville;https://www.deliberations.be/florenville;https://www.florenville.be;True;;False;False;0;deliberations.be (ongewijzigd);
Flémalle;https://deliberations.be/flemalle;https://www.flemalle.be;True;;False;False;0;deliberations.be (ongewijzigd);
Fléron;https://deliberations.be/fleron;https://www.fleron.be;True;;False;False;0;deliberations.be (ongewijzigd);
Fontaine-l'Evêque;https://deliberations.be/fontaine-leveque;;False;;False;False;0;deliberations.be (ongewijzigd);Eigen website niet bereikbaar
Frameries;https://www.deliberations.be/frameries;https://www.frameries.be;True;;False;False;0;deliberations.be (ongewijzigd);
Frasnes-lez-Anvaing;https://www.deliberations.be/frasnes-lez-anvaing;https://www.frasnes-lez-anvaing.be;True;;False;False;0;deliberations.be (ongewijzigd);
Froidchapelle;https://www.deliberations.be/froidchapelle;https://www.froidchapelle.be;True;https://www.froidchapelle.be/ma-commune/vie-politique/conseil-communal/proces-verbaux;True;False;4;EIGEN SITE: https://www.froidchapelle.be/ma-commune/vie-politique/conseil-communal/proces-verbaux;4 PDF(s) gevonden (pad: /ma-commune/vie-politique/conseil-communal/proces-verbaux)
Geer;https://www.deliberations.be/geer;https://www.geer.be;True;;False;False;0;deliberations.be (ongewijzigd);
Gembloux;https://www.deliberations.be/gembloux;https://www.gembloux.be;True;;False;False;0;deliberations.be (ongewijzigd);
Genappe;https://www.deliberations.be/genappe;https://www.genappe.be;True;;False;False;0;deliberations.be (ongewijzigd);
